filename,set_name,card_number,variant,full_name,filepath,class_from_folder,set_encoded,card_encoded,variant_encoded,card_id,card_id_encoded
laar_1.webp,laar,1,normal,laar_1,laar\laar_1.webp,laar,0,0,1,laar_1_normal,10
laar_10.webp,laar,10,normal,laar_10,laar\laar_10.webp,laar,0,1,1,laar_10_normal,0
laar_11.webp,laar,11,normal,laar_11,laar\laar_11.webp,laar,0,12,1,laar_11_normal,1
laar_12.webp,laar,12,normal,laar_12,laar\laar_12.webp,laar,0,23,1,laar_12_normal,2
laar_13.webp,laar,13,normal,laar_13,laar\laar_13.webp,laar,0,34,1,laar_13_normal,3
laar_14.webp,laar,14,normal,laar_14,laar\laar_14.webp,laar,0,45,1,laar_14_normal,4
laar_15.webp,laar,15,normal,laar_15,laar\laar_15.webp,laar,0,56,1,laar_15_normal,5
laar_16.webp,laar,16,normal,laar_16,laar\laar_16.webp,laar,0,67,1,laar_16_normal,6
laar_17.webp,laar,17,normal,laar_17,laar\laar_17.webp,laar,0,78,1,laar_17_normal,7
laar_18.webp,laar,18,normal,laar_18,laar\laar_18.webp,laar,0,89,1,laar_18_normal,8
laar_19.webp,laar,19,normal,laar_19,laar\laar_19.webp,laar,0,100,1,laar_19_normal,9
laar_2.webp,laar,2,normal,laar_2,laar\laar_2.webp,laar,0,111,1,laar_2_normal,11
laar_3.webp,laar,3,normal,laar_3,laar\laar_3.webp,laar,0,143,1,laar_3_normal,12
laar_4.webp,laar,4,normal,laar_4,laar\laar_4.webp,laar,0,154,1,laar_4_normal,13
laar_5.webp,laar,5,normal,laar_5,laar\laar_5.webp,laar,0,165,1,laar_5_normal,14
laar_6.webp,laar,6,normal,laar_6,laar\laar_6.webp,laar,0,176,1,laar_6_normal,15
laar_7.webp,laar,7,normal,laar_7,laar\laar_7.webp,laar,0,187,1,laar_7_normal,16
laar_8.webp,laar,8,normal,laar_8,laar\laar_8.webp,laar,0,198,1,laar_8_normal,17
laar_9.webp,laar,9,normal,laar_9,laar\laar_9.webp,laar,0,209,1,laar_9_normal,18
s1_1.webp,s1,1,normal,s1_1,s1\s1_1.webp,s1,1,0,1,s1_1_normal,143
s1_10.webp,s1,10,normal,s1_10,s1\s1_10.webp,s1,1,1,1,s1_10_normal,31
s1_100.webp,s1,100,normal,s1_100,s1\s1_100.webp,s1,1,2,1,s1_100_normal,19
s1_101.webp,s1,101,normal,s1_101,s1\s1_101.webp,s1,1,3,1,s1_101_normal,21
s1_101_alt.webp,s1,101,alt,s1_101_alt,s1\s1_101_alt.webp,s1,1,3,0,s1_101_alt,20
s1_102.webp,s1,102,normal,s1_102,s1\s1_102.webp,s1,1,4,1,s1_102_normal,22
s1_103.webp,s1,103,normal,s1_103,s1\s1_103.webp,s1,1,5,1,s1_103_normal,23
s1_104.webp,s1,104,normal,s1_104,s1\s1_104.webp,s1,1,6,1,s1_104_normal,24
s1_105.webp,s1,105,normal,s1_105,s1\s1_105.webp,s1,1,7,1,s1_105_normal,25
s1_106.webp,s1,106,normal,s1_106,s1\s1_106.webp,s1,1,8,1,s1_106_normal,26
s1_107.webp,s1,107,normal,s1_107,s1\s1_107.webp,s1,1,9,1,s1_107_normal,27
s1_108.webp,s1,108,normal,s1_108,s1\s1_108.webp,s1,1,10,1,s1_108_normal,28
s1_108_pf.webp,s1,108,pf,s1_108_pf,s1\s1_108_pf.webp,s1,1,10,2,s1_108_pf,29
s1_109.webp,s1,109,normal,s1_109,s1\s1_109.webp,s1,1,11,1,s1_109_normal,30
s1_11.webp,s1,11,normal,s1_11,s1\s1_11.webp,s1,1,12,1,s1_11_normal,43
s1_110.webp,s1,110,normal,s1_110,s1\s1_110.webp,s1,1,13,1,s1_110_normal,32
s1_111.webp,s1,111,normal,s1_111,s1\s1_111.webp,s1,1,14,1,s1_111_normal,33
s1_112.webp,s1,112,normal,s1_112,s1\s1_112.webp,s1,1,15,1,s1_112_normal,34
s1_113.webp,s1,113,normal,s1_113,s1\s1_113.webp,s1,1,16,1,s1_113_normal,35
s1_114.webp,s1,114,normal,s1_114,s1\s1_114.webp,s1,1,17,1,s1_114_normal,36
s1_115.webp,s1,115,normal,s1_115,s1\s1_115.webp,s1,1,18,1,s1_115_normal,37
s1_116.webp,s1,116,normal,s1_116,s1\s1_116.webp,s1,1,19,1,s1_116_normal,38
s1_117.webp,s1,117,normal,s1_117,s1\s1_117.webp,s1,1,20,1,s1_117_normal,39
s1_118.webp,s1,118,normal,s1_118,s1\s1_118.webp,s1,1,21,1,s1_118_normal,40
s1_119.webp,s1,119,normal,s1_119,s1\s1_119.webp,s1,1,22,1,s1_119_normal,41
s1_119_pf.webp,s1,119,pf,s1_119_pf,s1\s1_119_pf.webp,s1,1,22,2,s1_119_pf,42
s1_12.webp,s1,12,normal,s1_12,s1\s1_12.webp,s1,1,23,1,s1_12_normal,56
s1_120.webp,s1,120,normal,s1_120,s1\s1_120.webp,s1,1,24,1,s1_120_normal,44
s1_121.webp,s1,121,normal,s1_121,s1\s1_121.webp,s1,1,25,1,s1_121_normal,45
s1_122.webp,s1,122,normal,s1_122,s1\s1_122.webp,s1,1,26,1,s1_122_normal,46
